benchmark,dimension,seed,true_eval_num,strategy_before,strategy_used,strategy_after,candidate_pred,true_fitness,current_best_after,improved,rejected_by_niche,niche_min_distance,niche_threshold,pred_mq,pred_tps,pred_gaussian
Ellipsoid,10,42,74,1,LCB-GPR,2,-189374.4375817793,1107.5695826165058,0.32775993867312575,False,False,,0.0031622776601683794,,,
Ellipsoid,10,42,75,2,Global-RBF,2,0.034769864099416736,0.27216680185880804,0.27216680185880804,True,False,0.2063189091784818,0.0031622776601683794,0.03476986389443937,0.4199796832533593,0.23877478250494732
Ellipsoid,10,42,76,2,Global-RBF,2,0.15248737322036732,0.2539983999248419,0.2539983999248419,True,False,0.13253588735879568,0.0031622776601683794,0.22615048221854295,0.16628433705704992,0.15248737290033887
Ellipsoid,10,42,77,2,Global-RBF,3,-0.6356080151830383,1.467654255278814,0.2539983999248419,False,False,0.5960391638455409,0.0031622776601683794,-0.6356080135418551,2.312277792361158,2.7700541312013343
Ellipsoid,10,42,78,3,Local-RBF,1,0.23756123243322907,0.35753153599336907,0.2539983999248419,False,False,0.15283052809193728,0.0031622776601683794,0.27515644905994135,0.23756123243322907,0.2832472262290222
Ellipsoid,10,42,79,1,LCB-GPR,2,-174137.58558372737,1092.266385010149,0.2539983999248419,False,False,,0.0031622776601683794,,,
Ellipsoid,10,42,80,2,Global-RBF,2,0.13018751206959678,0.1948154709856094,0.1948154709856094,True,False,0.19588128145850336,0.0031622776601683794,0.23136706567890997,0.13018751206971046,0.14847283358699315
Ellipsoid,10,42,80,2,Global-RBF,3,0.1750578124683102,,0.1948154709856094,False,True,0.0,0.0031622776601683794,0.1750578124683102,0.19481475190883657,0.1899211091264874
Ellipsoid,10,42,81,3,Local-RBF,1,-0.3166846030129283,0.6495709525641519,0.1948154709856094,False,False,0.5224825565825648,0.0031622776601683794,0.4238526439398904,-0.3166846030129287,0.3673566853703432
Ellipsoid,10,42,82,1,LCB-GPR,2,-171776.94646157793,1091.5736835207497,0.1948154709856094,False,False,,0.0031622776601683794,,,
Ellipsoid,10,42,83,2,Global-RBF,3,-3.85260805774584,15.40874703464914,0.1948154709856094,False,False,2.7121077119584536,0.0031622776601683794,12.091106075452046,39.51620685016809,-3.852608057731743
Ellipsoid,10,42,84,3,Local-RBF,1,-0.020270623346453076,0.269006784966091,0.1948154709856094,False,False,0.19835884036324303,0.0031622776601683794,0.15469792151142758,-0.020270623346453243,0.22111540343054448
Ellipsoid,10,42,85,1,LCB-GPR,2,-160123.63064314373,971.6973141409912,0.1948154709856094,False,False,,0.0031622776601683794,,,
Ellipsoid,10,42,86,2,Global-RBF,3,-1.3512949301464232,4.896145354957673,0.1948154709856094,False,False,1.7692487416020537,0.0031622776601683794,-1.3512949263947007,18.25927080331212,4.4423845193337
Ellipsoid,10,42,87,3,Local-RBF,1,0.1474935164302534,0.3520616245435279,0.1948154709856094,False,False,0.13501943333985983,0.0031622776601683794,0.239310678219517,0.1474935164302533,0.2254612297468113
Ellipsoid,10,42,88,1,LCB-GPR,2,-164315.7509281671,1083.9653212031344,0.1948154709856094,False,False,,0.0031622776601683794,,,
Ellipsoid,10,42,89,2,Global-RBF,2,-0.3330898041193109,0.1458599965715927,0.1458599965715927,True,False,0.2863363529368822,0.0031622776601683794,-0.33308980087628015,0.4225849904299821,0.7367881608115567
Ellipsoid,10,42,90,2,Global-RBF,3,-0.050532221544358435,0.29059243148550035,0.1458599965715927,False,False,0.3218413946999524,0.0031622776601683794,0.2270649000692515,0.34964190370766346,-0.05053222141992819
Ellipsoid,10,42,90,3,Local-RBF,1,0.14585999658000118,,0.1458599965715927,False,True,0.0,0.0031622776601683794,0.14585999734764393,0.1458599965800011,0.14585999683517056
Ellipsoid,10,42,91,1,LCB-GPR,2,-156600.53568876293,1101.653797167286,0.1458599965715927,False,False,,0.0031622776601683794,,,
